Date,ORP1,NO3,EC,NH4,CODeff,PH,DO,SS2,ORP2,SS1,COD,Ri,Re,C/N
2024/2/21 00:00,-67.8875,24.86,0.94,16.91,6,6.16,5.48,2049.655,336.75,25.22,38.517,1.5,0.5,6
2024/2/21 01:00,-63.4675,24.76,0.92,16.94333333,5.121666667,6.16,5.51,2004.415,340.1,26.14,40.9615,1.5,0.5,6
2024/2/21 02:00,-58.8975,24.74,0.9,16.95333333,5.231666667,6.16,5.53,1988.89,343.14,25.45,39.586,1.5,0.5,6
2024/2/21 03:00,-59.0075,24.73,0.89,16.93333333,5.626666667,6.16,5.53,2076.315,344.8,25.23,41.1645,1.5,0.5,6
2024/2/21 04:00,-38.5575,24.72,1.2,16.93333333,5.626666667,6.16,5.51,2064.795,349.02,25.43,25.841,1.5,0.5,6
2024/2/21 05:00,-45.5975,24.71,1.15,17.935,5.116666667,6.16,5.57,2018.845,350.98,26.07,41.1015,1.5,0.5,6
2024/2/21 06:00,-44.2975,24.72,1.15,18.54833333,6.608333333,6.15,5.61,2009.275,351.27,25.3,39.1445,1.5,0.5,6
2024/2/21 07:00,-39.4475,24.79,1.18,16.55333333,3.95,6.15,5.61,2029.245,356.72,25.39,26.8685,1.5,0.5,6
2024/2/21 08:00,-37.6175,24.77,1.2,19.205,6.538333333,6.15,5.64,2020.685,358.64,24.99,43.1875,1.5,0.5,6
2024/2/21 09:00,-34.785,24.73,1.17,21.07166667,5.855,6.16,5.67,1952.44,359.95,24.88,42.304,1.5,0.5,6
2024/2/21 10:00,-35.97,24.7,1.17,18.99833333,7.02,6.16,5.64,2003.3,361.69,24.99,38.8165,1.5,0.5,6
2024/2/21 11:00,-29.2,24.79,1.2,24.7,7.99,6.15,5.64,1962.685,364.75,25.09,41.733,1.5,0.5,6
2024/2/21 12:00,-27.225,24.76,1.21,25.4,6.87,6.15,5.47,1945.255,367.96,25.29,41.834,1.5,0.5,6
2024/2/21 13:00,-26.2725,24.77,1.2,24.26,6.21,6.15,5.85,1949.745,369.6,24.51,40.6085,1.5,0.5,6
2024/2/21 14:00,-27.2925,24.77,1.22,22.28,14.44,6.15,5.98,1986.545,370.33,24.69,40.249,1.5,0.5,6
2024/2/21 15:00,-26.725,24.84,1.2,23.93,8.23,6.15,5.96,1992.39,370.64,25.05,41.73,1.5,0.5,6
2024/2/21 16:00,-26.9125,24.89,1.22,23.42,13.53,6.16,5.77,1923.12,372.59,24.63,40.433,1.5,0.5,6
2024/2/21 17:00,-32.6925,24.83,1.18,20.4,4.97,6.15,5.64,1903.06,370.92,25.61,39.1885,1.5,0.5,6
2024/2/21 18:00,-42.5975,24.79,1.09,18.32,3.94,6.16,5.63,1938.535,362.05,25.26,28.453,1.5,0.5,6
2024/2/21 19:00,-44.2175,24.82,1.03,17.19,10.64,6.16,5.25,1917.695,353.25,23.95,31.8665,1.5,0.5,6
2024/2/21 20:00,-45.6225,24.77,1,18.38,5.12,6.16,5.51,1850.07,345.25,24.26,40.3645,1.5,0.5,6
2024/2/21 21:00,-44.7975,24.73,0.87,21.81,2.95,6.15,5.12,1925.275,339.96,23.99,38.398,1.5,0.5,6
2024/2/21 22:00,-50.845,24.69,0.83,20.07,4.54,6.16,4.14,1911.57,338.81,23.81,43.148,1.5,0.5,6
2024/2/21 23:00,-41.5925,24.73,1.03,16.94,5.01,6.16,5.17,1934.375,337.09,24.17,41.2475,1.5,0.5,6
2024/2/22 00:00,-42.8475,24.76,1.07,21.31,6.25,6.15,4.72,1921.76,337.33,23.49,40.367,1.5,0.5,6
2024/2/22 01:00,-40.0425,24.77,1.02,17.33,6.77,6.16,4.9,1911.21,336.44,23.22,38.749,1.5,0.5,6
2024/2/22 02:00,-44.3425,24.83,0.95,16.65,6.47,6.17,5.19,1928.27,335.69,23.49,43.466,1.5,0.5,6
2024/2/22 03:00,-55.83,24.82,0.9,17.96,5.79,6.16,5.13,1899.55,334.46,23.76,40.095,1.5,0.5,6
2024/2/22 04:00,-61.8775,24.86,0.85,18.04,5.62,6.16,5.12,1968.905,333.02,24.82,34.3135,1.5,0.5,6
2024/2/22 05:00,-56.36,24.84,1.23,16.42,4.73,6.16,5.17,2002.355,331.27,23.35,33.261,1.5,0.5,6
2024/2/22 06:00,-59.825,24.88,1.16,18.6,5.49,6.16,4.96,2032.215,329.59,23.11,43.2455,1.5,0.5,6
2024/2/22 07:00,-61.6175,24.88,1.14,14.4,4.17,6.16,5.07,1995.97,328.82,23.66,37.0455,1.5,0.5,6
2024/2/22 08:00,-64.68,24.85,1.12,16.48,5.39,6.16,5.02,1980.805,327.47,23.01,41.267,1.5,0.5,6
2024/2/22 09:00,-65.1625,24.85,1.05,19.59,8.09,6.16,5.09,1973.395,326.45,23.06,40.1875,1.5,0.5,6
